source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-115-m-a-la-nouvelle-medina-benarous-medinajedida-148194,Appartement,,2025-10-25,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013.0,115.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-a-vendre-benarous-rades-148125,Appartement,205000.0,2025-10-23,Ben Arous,Radès,Avenue Habib bourguiba,2013.0,81.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,3.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/duplex-a-vendre-a-l-aouina-superficie-207-m-tunis-laouina-148111,Appartement,560000.0,2025-10-22,Tunis,L'aouina,L'aouina,1000.0,207.0,Non,Non,Non précisé,Moyen standing,4.0,3.0,Oui,Non,Oui,Non,Oui,Non,2.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-a-vendre-a-hammam-sousse-sousse-hammamsousse-148105,Appartement,140000.0,2025-10-22,Sousse,Hammam Sousse,georgeachour@gmail.com,4011.0,70.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Non,Oui,Non,Non,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s3-nouvelle-soukra-ariana-lasoukra-148092,Appartement,520000.0,2025-10-22,Ariana,La Soukra,La Soukra,2036.0,149.0,Non,Non,Non précisé,Moyen standing,3.0,3.0,Oui,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-avec-place-de-parking-sousse-hergla-148082,Appartement,,2025-10-22,Sousse,Hergla,sana.bensaleh@yahoo.com,4000.0,,Titre Individuel,Non,Non précisé,Moyen standing,,,Non,Non,Oui,Non,Oui,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s-2-a-hammem-sousse-sousse-hammamsousse-148081,Appartement,280000.0,2025-10-22,Sousse,Hammam Sousse,Hammam Sousse,4011.0,100.0,Non,Non,Non précisé,Haut standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,2.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/location-appartement-avec-piscine-au-lac-2-tunis-lamarsa-148071,Appartement,5500.0,2025-10-21,Tunis,La Marsa,La Marsa,2070.0,300.0,Non,Non,Non précisé,Haut standing,3.0,1.0,Oui,Non,Oui,Oui,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/coquet-appartement-meuble-a-hammamet-nord-a-vendre-51355351-nabeul-hammametnord-148060,Appartement,195000.0,2025-10-21,Nabeul,Hammamet Nord,Hammamet Nord,8050.0,100.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,2.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-50-m-de-la-plage-a-hammamet-a-vendre-51355351-nabeul-hammametcentre-148041,Appartement,630000.0,2025-10-21,Nabeul,Hammamet Centre,Hammamet Centre,8050.0,120.0,Non,Non,Non précisé,Moyen standing,3.0,1.0,Non,Non,Oui,Non,Oui,Oui,0.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-148036,Appartement,,2025-10-20,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013.0,90.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Oui,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-a-vendre-a-boumhel-benarous-boumhel-148032,Appartement,150000.0,2025-10-20,Ben Arous,Boumhel,Résidence El Iklil SPROLS à Boumhel centre,2013.0,90.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Oui,Oui,Non,Oui,Oui,3.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/--appartement-de-reve-a-zahra-kelibia-nabeul-kelibia-148028,Appartement,265000.0,2025-10-20,Nabeul,hammem ghzez,ezzzahra,8000.0,78.0,Non,Oui,Non précisé,Luxe,1.0,1.0,Non,Non,Oui,Non,Non,Non,2.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s1-vue-mer-a-sidi-mahersi-nabeul-nabeul-nabeul-148025,Appartement,320000.0,2025-10-20,Nabeul,Nabeul,Nabeul,8000.0,58.0,Non,Oui,Neuf,Haut standing,1.0,1.0,Oui,Oui,Oui,Oui,Oui,Non,2.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-port-el-kantaoui-les-maisons-de-la-mer-sousse-hammamsousse-148019,Appartement,650000.0,2025-10-20,Sousse,Hammam Sousse,Hammam Sousse,4011.0,85.0,Non,Oui,Non précisé,Moyen standing,3.0,1.0,Non,Non,Oui,Oui,Oui,Oui,0.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/joli-appartement-s3-ariana-borjlouzir-147989,Appartement,,2025-10-18,Ariana,Borj Louzir,Behi ladgham,2073.0,120.0,Non,Non,Rénové,Haut standing,3.0,1.0,Oui,Non,Oui,Non,Oui,Non,2.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-rdc-a-vendre-a-hammamet-51355351-nabeul-hammametcentre-147967,Appartement,120000.0,2025-10-18,Nabeul,Hammamet Centre,Hammamet Centre,8050.0,50.0,Titre Individuel,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-147958,Appartement,170000.0,2025-10-17,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013.0,90.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Oui,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-147957,Appartement,210000.0,2025-10-17,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013.0,90.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Oui,Oui,Non,Oui,Non,2.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s3-a-ezzahra-avec-jardin-et-terrasse-benarous-ezzahra-147923,Appartement,295000.0,2025-10-16,Ben Arous,Ezzahra,Ezzahra,2034.0,120.0,Non,Non,Non précisé,Moyen standing,3.0,1.0,Oui,Oui,Oui,Non,Oui,Oui,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-en-premiere-position-face-a-la-mer-corniche-mahdia-mahdia-mahdia-147910,Appartement,640000.0,2025-10-16,Mahdia,Mahdia,Mahdia,5100.0,113.0,Non,Oui,Non précisé,Moyen standing,2.0,3.0,Oui,Oui,Oui,Non,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-residence-aziz-ariana-lasoukra-147868,Appartement,,2025-10-15,Ariana,La Soukra,Rue du parc soukra Dar fadhal,2036.0,200.0,Non,Non,Non précisé,Non précisé,,,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vendre-appart-s-3-sfax-routesoukra-147866,Appartement,,2025-10-15,Sfax,Route Soukra,route soukra,2036.0,95.0,Oui,Non,Non précisé,Non précisé,4.0,1.0,Non,Non,Oui,Non,Non,Non,3.0,Oui,Oui,Non
menzili,https://www.menzili.tn/annonce/appartement-bien-equipe-ariana-borjlouzir-147852,Appartement,155000.0,2025-10-14,Ariana,Borj Louzir,Résidence semiramis immeuble chahrazed APP33 Borj,2073.0,105.0,Oui,Non,Rénové,Moyen standing,3.0,2.0,Non,Oui,Oui,Non,Oui,Oui,4.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-a-vendre-a-chott-mariem-sousse-akouda-147826,Appartement,230000.0,2025-10-14,Sousse,Akouda,chott mariem,4022.0,76.0,Non,Oui,Non précisé,Haut standing,2.0,1.0,Non,Non,Oui,Non,Non,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-bel-appartement-150-m-3-chambres-salon-quartier-complet-en-commodites-gafsa-gafsasud-147808,Appartement,,2025-10-13,Gafsa,école amor ben slimen 2,Moualla Gafsa,2100.0,150.0,Non,Non,Bon état,Moyen standing,3.0,2.0,Non,Oui,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/un-appartement-a-ezzahra-a-louer-benarous-ezzahra-147807,Appartement,,2025-10-13,Ben Arous,Ezzahra,archicasaarchiwar@gmail.com,2034.0,,Non,Non,Non précisé,Haut standing,2.0,1.0,Oui,Non,Oui,Non,Oui,Non,,Oui,Oui,Non
menzili,https://www.menzili.tn/annonce/-A-louer-appartement-s-3-au-3eme-etage-a-residence-nour-2-el-ghazela-ariana-ghazela-147801,Appartement,1300.0,2025-10-13,Ariana,Ghazela,Ghazela,2080.0,,Non,Non,Non précisé,Haut standing,3.0,1.0,Oui,Non,Oui,Non,Oui,Non,3.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre--bel-appartement-s1-a-port-el-kantaoui-sousse-hammamsousse-147712,Appartement,350000.0,2025-10-09,Sousse,Hammam Sousse,Hammam Sousse,4011.0,48.0,Non,Non,Bon état,Moyen standing,1.0,,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-la-marsa-tunis-lamarsa-147695,Appartement,350000.0,2025-10-08,Tunis,La Marsa,La Marsa,2070.0,150.0,Non,Non,Non précisé,Non précisé,2.0,3.0,Oui,Non,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-avec-jardin-la-marsa-tunis-lamarsa-147694,Appartement,370000.0,2025-10-08,Tunis,La Marsa,La Marsa,2070.0,175.0,Non,Non,Bon état,Moyen standing,2.0,3.0,Oui,Non,Oui,Non,Non,Oui,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s1-a-2-min-de-la-plage-chraff-bekalta-monastir-bekalta-147685,Appartement,105000.0,2025-10-08,Monastir,Bekalta,Bekalta,5014.0,62.0,Non,Non,Non précisé,Non précisé,1.0,1.0,Non,Oui,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/s-3-haut-standing-neuf-a-vendre-a-cite-taamir-emplacement-strategique-sur-rue-principale-sousse-sousseriadh-147651,Appartement,250000.0,2025-10-07,Sousse,Sousse Riadh,Sousse Riadh,4000.0,100.0,Non,Oui,Neuf,Haut standing,3.0,1.0,Oui,Non,Oui,Non,Oui,Non,1.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s2-laaouina-tunis-lamarsa-147631,Appartement,236000.0,2025-10-07,Tunis,La Marsa,La Marsa,2070.0,100.0,Titre Individuel,Non,Non précisé,Haut standing,2.0,1.0,Non,Oui,Oui,Non,Oui,Non,5.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/magnifique-appartement-a-el-maamoura-nabeul-benikhiar-140120,Appartement,255000.0,2025-02-27,Nabeul,Béni Khiar,Rue de Caire maamoura nabeul,8000.0,110.0,Non,Non,Non précisé,Non précisé,3.0,2.0,Non,Non,Oui,Non,Non,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-louer-bel-appartement-s1-bien-meuble-avec-vue-magnifique-sur-le-port-port-el-kantaoui-sousse-hammamsousse-147618,Appartement,1300.0,2025-10-06,Sousse,Hammam Sousse,Hammam Sousse,4011.0,55.0,Non,Non,Non précisé,Moyen standing,1.0,1.0,Non,Oui,Oui,Non,Oui,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-meuble-avec-vue-mer-residence-avec-piscines-sousse-akouda-147614,Appartement,465000.0,2025-10-06,Sousse,Akouda,Akouda,4022.0,95.0,Non,Oui,Non précisé,Haut standing,2.0,1.0,Non,Oui,Oui,Non,Oui,Non,3.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s4-soukra-ariana-lasoukra-147603,Appartement,380000.0,2025-10-06,Ariana,La Soukra,La Soukra,2036.0,140.0,Titre Individuel,Non,Non précisé,Haut standing,4.0,1.0,Oui,Non,Oui,Non,Oui,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vente-s-3-a-manouba-manouba-manoubaville-147588,Appartement,260000.0,2025-10-06,Manouba,Manouba Ville,Manouba,2010.0,129.0,Oui,Non,Non précisé,Haut standing,3.0,2.0,Oui,Oui,Oui,Non,Oui,Oui,2.0,Oui,Oui,Oui
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-130m-200m-de-la-plage-nabeul-kelibia-147571,Appartement,200000.0,2025-10-05,Nabeul,Kélibia,Cité Al-Fatha 200 m de la plage,8000.0,130.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,1.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-de-115-m-a-la-nouvelle-medina-benarous-medinajedida-147530,Appartement,,2025-10-04,Ben Arous,Ben Arous,nouvelle Medina,2013.0,115.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,2.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-85m-a-afh-mrezga-nabeul-nabeul-nabeul-147512,Appartement,321000.0,2025-10-03,Nabeul,Nabeul,Nabeul,8000.0,85.0,Non,Non,Non précisé,Haut standing,2.0,1.0,Oui,Oui,Oui,Oui,Oui,Non,1.0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/-s-1-a-kantaoui-direct-promoteur-pres-de-la-mer-sousse-kantaoui-147505,Appartement,298000.0,2025-10-03,Sousse,Kantaoui,rue Hassen ben said 4051 khzema ouest,4089.0,67.0,Non,Non,Non précisé,Haut standing,1.0,1.0,Non,Non,Oui,Oui,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-100-m-a-la-nouvelle-medina-benarous-medinajedida-147502,Appartement,,2025-10-03,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013.0,100.0,Non,Non,Non précisé,Moyen standing,2.0,1.0,Oui,Oui,Oui,Non,Non,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/-s-2-a-cite-riadh-sousse-sousseriadh-147473,Appartement,271000.0,2025-10-02,Sousse,bouhsina,sousse,4000.0,9035.0,Non,Non,Non précisé,Haut standing,2.0,1.0,Non,Non,Oui,Non,Oui,Non,1.0,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-studio-s0-a-chatt-mariem-pres-de-la-plage-sousse-akouda-147451,Appartement,136000.0,2025-10-01,Sousse,Akouda,Akouda,4022.0,16.0,Titre Bleu,Non,Non précisé,Haut standing,1.0,1.0,Non,Non,Oui,Oui,Non,Oui,2.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-a-centre-ville-de-nabeul-nabeul-nabeul-147409,Appartement,280000.0,2025-09-30,Nabeul,Nabeul,Nabeul,8000.0,106.0,Oui,Non,Non précisé,Haut standing,2.0,,Oui,Oui,Oui,Non,Oui,Non,1.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartemnt-s-1-rc-lafayette-tunis-centrevillelafayette-147408,Appartement,150000.0,2025-09-30,Tunis,Centre Ville - Lafayette,RUE DE IRAN LAFAYETTE,1000.0,70.0,Non,Non,Non précisé,Non précisé,2.0,2.0,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147401,Appartement,250000.0,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080.0,110.0,Titre Individuel,Non,Neuf,Moyen standing,3.0,,Non,Oui,Oui,Non,Oui,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147400,Appartement,250000.0,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080.0,110.0,Titre Individuel,Non,Neuf,Moyen standing,3.0,,Non,Oui,Oui,Non,Oui,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147399,Appartement,250000.0,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080.0,110.0,Titre Individuel,Non,Neuf,Moyen standing,3.0,,Non,Oui,Oui,Non,Oui,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s2-morneg-benarous-mornag-147397,Appartement,270000.0,2025-09-30,Ben Arous,Mornag,Mornag,2090.0,117.0,Non,Non,Non précisé,Haut standing,2.0,1.0,Oui,Oui,Oui,Non,Oui,Non,3.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/--A-vendre-charmant-duplex-de-82-m-a-el-ghazela-ariana-ghazela-147381,Appartement,240000.0,2025-09-29,Ariana,Ghazela,Ghazela,2080.0,82.0,Non,Non,Non précisé,Non précisé,2.0,,Non,Oui,Oui,Non,Non,Non,0.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/opportunite-a-la-manouba-charmant-s-3-a-vendre-dans-emplacement-ideal-manouba-manoubaville-147346,Appartement,195000.0,2025-09-28,Manouba,Manouba Ville,Manouba Ville,2010.0,104.0,Non,Non,Bon état,Non précisé,3.0,1.0,Non,Non,Oui,Non,Oui,Non,2.0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-vendre-el-manar-1-ariana-menzah-147332,Appartement,250000.0,2025-09-27,Ariana,Menzah,El Manar 1,1004.0,80.0,Non,Non,Bon état,Non précisé,3.0,1.0,Non,Non,Oui,Non,Non,Non,2.0,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/-s-2-a-bouhsina-avec-place-de-parking-sousse-soussejawhara-147303,Appartement,270000.0,2025-09-27,Sousse,Sousse Jawhara,Sousse Jawhara,4000.0,110.0,Non,Non,Non précisé,Non précisé,2.0,1.0,Non,Non,Oui,Non,Non,Non,,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-1-afh-mrezga-nabeul-mrezga-147293,Appartement,245000.0,2025-09-27,Nabeul,Mrezga,Cité el Wafa afh2 mrezga,8058.0,65.0,Oui,Non,Non précisé,Haut standing,1.0,1.0,Non,Non,Oui,Oui,Oui,Oui,6.0,Oui,Non,Oui
